City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,mareeba,-17.0,145.4333,24.71,59,0,4.5,AU,1694913063
264,port elizabeth,-33.918,25.5701,13.39,64,100,2.24,ZA,1694913064
265,taksimo,56.3444,114.8794,12.54,68,80,0.86,RU,1694913065
266,guiuan,11.0333,125.7247,28.43,73,48,1.03,PH,1694913065
267,nouadhibou,20.931,-17.0347,21.99,83,92,8.75,MR,1694912778
268,anka,12.1138,5.9243,25.0,85,95,2.67,NG,1694913066
269,kudahuvadhoo,2.6708,72.8944,28.07,76,82,6.31,MV,1694913067
270,bangassou,4.7413,22.8184,20.79,100,100,1.26,CF,1694913067
271,fortuna,40.5982,-124.1573,18.29,87,0,5.14,US,1694913068
272,moralillo,22.2167,-97.9,30.13,84,0,5.91,MX,1694913068
273,lospalos,-8.5186,127.0025,25.68,61,4,4.48,TL,1694913069
274,kuta,-8.7233,115.1723,26.97,83,40,6.71,ID,1694913055
275,selfoss,63.9331,-20.9971,8.36,88,100,7.2,IS,1694913070
276,kapuskasing,49.4169,-82.4331,13.2,85,88,0.69,CA,1694912955
277,majdanpek,44.4277,21.946,15.39,88,55,3.32,RS,1694913071
278,sungai raya,0.7,108.9,27.73,76,83,0.77,ID,1694913072
279,aasiaat,68.7098,-52.8699,-0.07,79,99,2.86,GL,1694913072
280,siverek,37.755,39.3167,22.11,16,6,1.98,TR,1694913073
281,el calafate,-50.3408,-72.2768,-0.25,71,22,1.6,AR,1694913073
282,ati,13.2154,18.3353,28.18,65,21,2.27,TD,1694912990
283,nar'yan-mar,67.6713,53.087,2.27,86,23,1.09,RU,1694913075
284,yangshuo,24.7808,110.4897,27.44,83,1,1.12,CN,1694913075
285,nuku'alofa,-21.1333,-175.2,24.19,73,75,7.2,TO,1694913076
286,mahibadhoo,3.7833,72.9667,27.91,78,20,5.44,MV,1694913052
287,monteria,8.748,-75.8814,25.61,92,70,3.3,CO,1694913077
288,morozovsk,48.3539,41.8261,14.24,64,89,3.45,RU,1694913077
289,nemuro,43.3236,145.575,18.0,94,100,4.71,JP,1694912816
290,sabratah,32.7933,12.4885,27.66,45,0,4.38,LY,1694913079
291,whangarei,-35.7317,174.3239,21.0,38,4,1.48,NZ,1694913079
292,gamba,-2.65,10.0,23.35,90,100,1.19,GA,1694913063
293,argo,37.6333,22.7333,21.55,53,100,1.91,GR,1694913056
294,pacific grove,36.6177,-121.9166,19.82,79,40,4.12,US,1694913000
295,bargaal,11.2864,51.0773,27.45,68,22,3.8,SO,1694913081
296,daru,-9.0763,143.2092,26.91,56,86,4.93,PG,1694912901
297,majene,-3.5403,118.9707,26.08,79,96,5.25,ID,1694913082
298,melfort,52.8667,-104.6177,19.48,34,9,3.77,CA,1694913083
299,sorong,-0.8833,131.25,27.16,74,100,4.6,ID,1694913083
300,luderitz,-26.6481,15.1594,13.33,60,0,10.32,NA,1694913084
301,ribeira grande,38.5167,-28.7,19.32,76,100,4.47,PT,1694913085
302,upata,8.0086,-62.3989,27.55,53,90,2.14,VE,1694912793
303,kill devil hills,36.0307,-75.676,23.01,73,0,0.0,US,1694913086
304,saudarkrokur,65.7461,-19.6394,8.42,88,100,3.7,IS,1694913087
305,flying fish cove,-10.4217,105.6791,24.82,78,75,7.2,CX,1694913087
306,pathein,16.7833,94.7333,24.83,95,100,2.22,MM,1694913088
307,lihue,21.9789,-159.3672,29.58,73,40,6.69,US,1694912808
308,rawson,-43.3002,-65.1023,7.91,71,100,1.33,AR,1694913089
309,ust-nera,64.5667,143.2,5.86,67,100,3.15,RU,1694913089
310,newman,37.3138,-121.0208,30.13,28,0,3.17,US,1694913090
311,berea,41.3662,-81.8543,17.2,84,99,1.35,US,1694912912
312,turkmenbasy,40.0222,52.9552,21.56,36,0,3.33,TM,1694913091
313,tshikapa,-6.4167,20.8,26.4,54,85,1.77,CD,1694913092
314,belle fourche,44.6714,-103.8522,20.24,41,0,3.41,US,1694913092
315,jamestown,42.097,-79.2353,12.23,75,92,0.25,US,1694912799
316,yaren,-0.5472,166.916,28.97,72,19,3.34,NR,1694913094
317,pontivy,48.0,-3.0,18.49,96,66,3.27,FR,1694913094
318,santa elena de uairen,4.6167,-61.1333,20.28,90,75,0.18,VE,1694913095
319,puerto baquerizo moreno,-0.9,-89.6,22.82,81,100,4.5,EC,1694913095
320,el granada,37.5027,-122.4694,22.67,75,20,8.23,US,1694913096
321,kenai,60.5544,-151.2583,9.05,95,100,7.2,US,1694913096
322,kaukauna,44.278,-88.272,19.39,78,75,0.45,US,1694913097
323,balikpapan,-1.2675,116.8289,28.55,79,20,2.06,ID,1694913098
324,barkly west,-28.5354,24.5215,5.94,50,89,4.47,ZA,1694913098
325,geraldton,-28.7667,114.6,17.23,72,60,8.75,AU,1694913099
326,baoro,5.6667,15.9667,20.31,95,100,0.68,CF,1694913099
327,grootfontein,-19.5667,18.1167,19.83,8,0,4.62,NA,1694913100
328,urengoy,65.9667,78.3667,5.06,78,88,3.13,RU,1694913100
329,baberu,25.55,80.7167,25.96,85,99,2.71,IN,1694913101
330,attur,11.6,78.6167,24.88,88,100,2.04,IN,1694912904
331,buka,40.8108,69.1986,15.29,34,79,2.99,UZ,1694913102
332,mizdah,31.4451,12.9801,23.35,39,67,3.11,LY,1694913102
333,kingston,17.997,-76.7936,27.89,98,100,0.45,JM,1694912954
334,anloga,5.7947,0.8973,25.08,89,100,6.68,GH,1694913104
335,kilindoni,-7.9139,39.6668,24.78,75,57,4.85,TZ,1694913104
336,labrador city,52.9463,-66.9114,11.31,71,100,1.33,CA,1694913105
337,gagra,43.3283,40.2239,17.51,78,0,2.94,GE,1694913105
338,soio,-6.1349,12.3689,23.23,92,24,3.51,AO,1694913106
339,jaisalmer,26.9147,70.9181,30.76,56,60,2.11,IN,1694912991
340,usinsk,65.9939,57.5281,5.26,91,100,4.18,RU,1694913005
341,kuanda,56.3161,116.0806,12.05,67,63,0.55,RU,1694913108
342,susuman,62.7833,148.1667,5.09,70,100,5.71,RU,1694913108
343,usogorsk,63.4106,48.6872,7.08,94,100,1.94,RU,1694913109
344,madimba,-10.4,40.3333,24.38,73,98,3.24,TZ,1694913109
345,shemgang,27.2169,90.6579,17.48,81,0,1.52,BT,1694913110
346,vilyuchinsk,52.9306,158.4028,18.15,60,18,13.94,RU,1694913110
347,rio grande,-32.035,-52.0986,17.75,88,0,3.96,BR,1694913111
348,tsiombe,-25.3,45.4833,20.94,62,0,2.69,MG,1694912839
349,maughold,54.2988,-4.3184,14.57,80,100,5.94,IM,1694913112
350,bhigvan,18.3167,74.7667,22.58,83,100,3.02,IN,1694913113
351,warora,20.2333,79.0,22.88,90,19,1.02,IN,1694913113
352,elliot lake,46.3834,-82.6331,13.22,84,88,1.12,CA,1694913114
353,nacala,-14.5428,40.6728,23.01,85,17,3.17,MZ,1694913114
354,badger,64.8,-147.5333,15.76,46,75,3.6,US,1694913002
355,goroka,-6.0834,145.3873,23.95,41,99,0.63,PG,1694913115
356,frenda,35.0654,1.0495,23.76,28,12,4.59,DZ,1694913116
357,shingu,33.7333,135.9833,29.65,64,9,2.19,JP,1694913116
358,vilyuysk,63.7553,121.6247,2.89,60,100,2.04,RU,1694913117
359,chernyanka,50.9409,37.8069,14.36,74,95,3.12,RU,1694913117
360,vernon,50.2581,-119.2691,31.24,26,0,0.0,CA,1694913118
361,sroda slaska,51.1641,16.5951,18.3,80,0,2.85,PL,1694913118
362,sao vicente,-23.9631,-46.3919,26.82,26,0,1.47,BR,1694913119
363,capayan,-28.761,-66.0502,25.19,21,0,1.74,AR,1694913120
